interval_begin,price_gen_energy,price_gen_lower_reg,price_gen_raise_reg
2021-08-01 00:00:00+10:00,132.47,17.52,24.9
2021-08-01 00:05:00+10:00,117.0,13.7,18.4
2021-08-01 00:10:00+10:00,117.0,10.7,12.75
2021-08-01 00:15:00+10:00,117.0,10.6,12.75
2021-08-01 00:20:00+10:00,84.3046,10.6,12.75
2021-08-01 00:25:00+10:00,115.77,10.6,12.75
2021-08-01 00:30:00+10:00,147.44,10.6,12.75
2021-08-01 00:35:00+10:00,147.44,10.6,12.75
2021-08-01 00:40:00+10:00,147.44,10.6,12.75
2021-08-01 00:45:00+10:00,149.99,10.6,12.75
2021-08-01 00:50:00+10:00,147.44,10.7,12.75
2021-08-01 00:55:00+10:00,149.99,10.7,12.75
2021-08-01 01:00:00+10:00,147.44,10.6,13.0
2021-08-01 01:05:00+10:00,149.99,10.6,12.75
2021-08-01 01:10:00+10:00,147.44,10.6,12.75
2021-08-01 01:15:00+10:00,147.44,10.6,12.75
2021-08-01 01:20:00+10:00,147.44,10.6,12.75
2021-08-01 01:25:00+10:00,147.44,10.7,13.8
2021-08-01 01:30:00+10:00,124.01,10.6,13.99
2021-08-01 01:35:00+10:00,118.0,10.7,13.8
2021-08-01 01:40:00+10:00,139.28,13.8,18.33
2021-08-01 01:45:00+10:00,113.62,13.7,13.99
2021-08-01 01:50:00+10:00,118.0,17.52,12.75
2021-08-01 01:55:00+10:00,46.4943,10.78,12.75
2021-08-01 02:00:00+10:00,118.0,10.81,24.9
2021-08-01 02:05:00+10:00,118.0,10.6,24.9
2021-08-01 02:10:00+10:00,134.376,10.6,29.3763
2021-08-01 02:15:00+10:00,247.0,10.7,24.9
2021-08-01 02:20:00+10:00,117.0,10.7,18.4
2021-08-01 02:25:00+10:00,117.0,10.7,20.8743
2021-08-01 02:30:00+10:00,122.285,13.7,24.9
2021-08-01 02:35:00+10:00,130.129,15.0,44.6051
2021-08-01 02:40:00+10:00,117.0,17.52,29.26
2021-08-01 02:45:00+10:00,117.0,15.0,24.9
2021-08-01 02:50:00+10:00,39.7512,15.0,24.9
2021-08-01 02:55:00+10:00,39.1976,17.52,24.9
2021-08-01 03:00:00+10:00,114.999,20.9,18.4
2021-08-01 03:05:00+10:00,27.1132,18.98,18.4
2021-08-01 03:10:00+10:00,35.8319,20.9,18.4
2021-08-01 03:15:00+10:00,38.5764,35.0,15.0
2021-08-01 03:20:00+10:00,38.5928,35.2084,25.0
2021-08-01 03:25:00+10:00,56.74,25.5901,30.0
2021-08-01 03:30:00+10:00,20.63,67.2205,18.4
2021-08-01 03:35:00+10:00,12.2238,58.6192,20.68
