interval_begin,interval_end,charging_mwh,discharging_mwh,state_of_charge_mwh,cleared_mw_gen_energy,cleared_mw_load_energy,cleared_mw_raise_reg,cleared_mw_lower_reg,price_energy,price_lower_reg,price_raise_reg
2021-05-05 00:00:00+10:00,2021-05-05 00:05:00+10:00,1.29904,0.0,59.656746,0,0,0,80,36.1103,5.5,5.97619
2021-05-05 00:05:00+10:00,2021-05-05 00:10:00+10:00,1.29904,0.0,60.955786,0,0,0,80,36.3458,5.5,7.99
2021-05-05 00:10:00+10:00,2021-05-05 00:15:00+10:00,0.0,0.377046957,60.57873904,0,0,80,80,36.9803,7.73,11.0911
2021-05-05 00:15:00+10:00,2021-05-05 00:20:00+10:00,0.0,0.377046957,60.20169209,0,0,80,80,36.7909,9.97864,8.2
2021-05-05 00:20:00+10:00,2021-05-05 00:25:00+10:00,1.29904,0.0,61.50073209,0,0,0,80,36.7878,10.7,7.99
2021-05-05 00:25:00+10:00,2021-05-05 00:30:00+10:00,0.0,0.377046957,61.12368513,0,0,80,80,36.9773,9.25,7.99
2021-05-05 00:30:00+10:00,2021-05-05 00:35:00+10:00,0.0,0.377046957,60.74663817,0,0,80,80,36.0363,5.5,7.99
2021-05-05 00:35:00+10:00,2021-05-05 00:40:00+10:00,0.0,0.377046957,60.36959122,0,0,80,80,35.9484,5.5,5.73
2021-05-05 00:40:00+10:00,2021-05-05 00:45:00+10:00,1.29904,0.0,61.66863122,0,0,0,80,32.7567,5.5,7.99
2021-05-05 00:45:00+10:00,2021-05-05 00:50:00+10:00,0.0,0.377046957,61.29158426,0,0,80,80,33.9569,5.5,7.99
2021-05-05 00:50:00+10:00,2021-05-05 00:55:00+10:00,0.0,0.377046957,60.9145373,0,0,80,80,31.5755,5.5,7.9
2021-05-05 00:55:00+10:00,2021-05-05 01:00:00+10:00,0.0,0.377046957,60.53749035,0,0,80,80,33.6457,5.5,7.9
2021-05-05 01:00:00+10:00,2021-05-05 01:05:00+10:00,0.0,0.377046957,60.16044339,0,0,80,80,33.08,5.5,7.99
2021-05-05 01:05:00+10:00,2021-05-05 01:10:00+10:00,0.0,0.377046957,59.78339643,0,0,80,80,32.7244,5.5,10.6571
2021-05-05 01:10:00+10:00,2021-05-05 01:15:00+10:00,0.0,0.377046957,59.40634948,0,0,80,80,31.2736,5.5,10.6571
2021-05-05 01:15:00+10:00,2021-05-05 01:20:00+10:00,0.0,0.377046957,59.02930252,0,0,80,80,30.1703,5.5,9.99
2021-05-05 01:20:00+10:00,2021-05-05 01:25:00+10:00,0.0,0.377046957,58.65225557,0,0,80,80,31.2694,5.5,10.6571
2021-05-05 01:25:00+10:00,2021-05-05 01:30:00+10:00,0.0,0.377046957,58.27520861,0,0,80,80,29.8393,5.5,10.6571
2021-05-05 01:30:00+10:00,2021-05-05 01:35:00+10:00,0.0,0.377046957,57.89816165,0,0,80,80,32.6931,5.5,10.98
2021-05-05 01:35:00+10:00,2021-05-05 01:40:00+10:00,0.0,0.377046957,57.5211147,0,0,80,80,33.2366,5.5,10.98
2021-05-05 01:40:00+10:00,2021-05-05 01:45:00+10:00,0.0,0.377046957,57.14406774,0,0,80,80,30.6381,5.5,10.98
2021-05-05 01:45:00+10:00,2021-05-05 01:50:00+10:00,0.0,0.377046957,56.76702078,0,0,80,80,30.1086,5.5,10.98
2021-05-05 01:50:00+10:00,2021-05-05 01:55:00+10:00,0.0,0.377046957,56.38997383,0,0,80,80,29.6355,5.5,9.99
2021-05-05 01:55:00+10:00,2021-05-05 02:00:00+10:00,0.0,0.377046957,56.01292687,0,0,80,80,26.5986,5.5,7.99
2021-05-05 02:00:00+10:00,2021-05-05 02:05:00+10:00,1.29904,0.0,57.31196687,0,0,0,80,26.7034,5.5,7.99
2021-05-05 02:05:00+10:00,2021-05-05 02:10:00+10:00,0.0,0.377046957,56.93491991,0,0,80,80,26.0192,5.5,9.99
2021-05-05 02:10:00+10:00,2021-05-05 02:15:00+10:00,1.29904,0.0,58.23395991,0,0,0,80,24.7526,5.5,7.99
2021-05-05 02:15:00+10:00,2021-05-05 02:20:00+10:00,0.0,0.377046957,57.85691296,0,0,80,80,25.4812,5.5,9.99
2021-05-05 02:20:00+10:00,2021-05-05 02:25:00+10:00,1.29904,0.0,59.15595296,0,0,0,80,25.6355,5.5,7.99
2021-05-05 02:25:00+10:00,2021-05-05 02:30:00+10:00,0.0,0.377046957,58.778906,0,0,80,80,25.2127,5.5,7.99
2021-05-05 02:30:00+10:00,2021-05-05 02:35:00+10:00,0.0,0.377046957,58.40185904,0,0,80,80,25.2138,5.5,7.99
2021-05-05 02:35:00+10:00,2021-05-05 02:40:00+10:00,1.29904,0.0,59.70089904,0,0,0,80,24.5183,5.5,9.99
2021-05-05 02:40:00+10:00,2021-05-05 02:45:00+10:00,0.0,0.377046957,59.32385209,0,0,80,80,26.067,5.5,9.65
2021-05-05 02:45:00+10:00,2021-05-05 02:50:00+10:00,0.0,0.377046957,58.94680513,0,0,80,80,25.5618,5.5,9.65
2021-05-05 02:50:00+10:00,2021-05-05 02:55:00+10:00,1.29904,0.0,60.24584513,0,0,0,80,25.6184,5.5,7.99
2021-05-05 02:55:00+10:00,2021-05-05 03:00:00+10:00,1.29904,0.0,61.54488513,0,0,0,80,25.979,5.5,8.0
2021-05-05 03:00:00+10:00,2021-05-05 03:05:00+10:00,1.278088913,0.0,62.82297404,0,0,1,80,25.3115,5.5,7.71487
2021-05-05 03:05:00+10:00,2021-05-05 03:10:00+10:00,1.29904,0.0,64.12201404,0,0,0,80,28.674,5.5,7.9
2021-05-05 03:10:00+10:00,2021-05-05 03:15:00+10:00,0.0,0.377046957,63.74496709,0,0,80,80,25.6902,5.5,7.9
2021-05-05 03:15:00+10:00,2021-05-05 03:20:00+10:00,0.0,0.377046957,63.36792013,0,0,80,80,25.2747,5.5,7.9
